t,q_1,q_2,q_3,q_4,q_5,q_6,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6
0,0,1.249335422,0,-1.063504511,-0.185830911,0,0,0.000596695,0,-0.00446072,-1.437029869,0,0,0.345916448,0,-0.00446072,-1.437029869,0
0.01,0,1.249355779,0,-1.063656736,-0.185915503,0,0,0.004052592,0,-0.030317488,-1.437879426,0,0,0.344590444,0,-0.030317488,-1.437879426,0
0.02,0,1.249410596,0,-1.064067123,-0.186143681,0,0,0.007492218,0,-0.056147561,-1.439901273,0,0,0.341426619,0,-0.056147561,-1.439901273,0
0.03,0,1.249499655,0,-1.06473531,-0.186515585,0,0,0.010901812,0,-0.081928392,-1.443072034,0,0,0.336441554,0,-0.081928392,-1.443072034,0
0.04,0,1.249622598,0,-1.065660716,-0.187031441,0,0,0.01426768,0,-0.107637592,-1.447355291,0,0,0.329661022,0,-0.107637592,-1.447355291,0
0.05,0,1.249778945,0,-1.066842613,-0.187691611,0,0,0.017576201,0,-0.13325297,-1.451606374,0,0,0.322905885,0,-0.13325297,-1.451606374,0
0.06,0,1.24996824,0,-1.068281345,-0.188497274,0,0,0.020813433,0,-0.158751906,-1.456516449,0,0,0.315069508,0,-0.158751906,-1.456516449,0
0.07,0,1.250189529,0,-1.069974205,-0.18944809,0,0,0.023966381,0,-0.184113451,-1.462219593,0,0,0.305915589,0,-0.184113451,-1.462219593,0
0.08,0,1.250441917,0,-1.071919733,-0.190544622,0,0,0.027021909,0,-0.209316561,-1.468688899,0,0,0.295463029,0,-0.209316561,-1.468688899,0
0.09,0,1.250724378,0,-1.074116264,-0.19178751,0,0,0.02996708,0,-0.234340683,-1.475894135,0,0,0.283733007,0,-0.234340683,-1.475894135,0
0.1,0,1.251035776,0,-1.076562085,-0.193177562,0,0,0.032789102,0,-0.259165673,-1.483802396,0,0,0.270748024,0,-0.259165673,-1.483802396,0
0.11,0,1.251374956,0,-1.079256293,-0.194716274,0,0,0.035474779,0,-0.283770954,-1.492380451,0,0,0.256527552,0,-0.283770954,-1.492380451,0
0.12,0,1.251740355,0,-1.082195284,-0.196403709,0,0,0.038012581,0,-0.308138845,-1.501585772,0,0,0.241105199,0,-0.308138845,-1.501585772,0
0.13,0,1.25213045,0,-1.085376616,-0.198240785,0,0,0.040390594,0,-0.33225128,-1.511377382,0,0,0.224509229,0,-0.33225128,-1.511377382,0
